# ----------------------------------------
# All Web Site Data
# Pages
# 20200901-20210106
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/latest/how-to/install-main.html,"3,444","2,335",00:00:50,"1,022",36.65%,20.06%,$0.00
,"3,444","2,335",00:00:50,"1,022",36.65%,20.06%,$0.00

Day Index,Pageviews
9/1/20,33
9/2/20,22
9/3/20,16
9/4/20,13
9/5/20,3
9/6/20,25
9/7/20,8
9/8/20,20
9/9/20,55
9/10/20,22
9/11/20,51
9/12/20,51
9/13/20,22
9/14/20,35
9/15/20,47
9/16/20,22
9/17/20,34
9/18/20,28
9/19/20,9
9/20/20,9
9/21/20,24
9/22/20,34
9/23/20,30
9/24/20,51
9/25/20,50
9/26/20,23
9/27/20,21
9/28/20,25
9/29/20,15
9/30/20,14
10/1/20,18
10/2/20,28
10/3/20,22
10/4/20,10
10/5/20,20
10/6/20,12
10/7/20,25
10/8/20,29
10/9/20,33
10/10/20,18
10/11/20,22
10/12/20,32
10/13/20,28
10/14/20,43
10/15/20,22
10/16/20,28
10/17/20,14
10/18/20,20
10/19/20,35
10/20/20,34
10/21/20,51
10/22/20,31
10/23/20,29
10/24/20,15
10/25/20,16
10/26/20,32
10/27/20,39
10/28/20,41
10/29/20,29
10/30/20,29
10/31/20,12
11/1/20,13
11/2/20,22
11/3/20,39
11/4/20,38
11/5/20,38
11/6/20,30
11/7/20,7
11/8/20,15
11/9/20,50
11/10/20,55
11/11/20,34
11/12/20,13
11/13/20,18
11/14/20,19
11/15/20,16
11/16/20,23
11/17/20,31
11/18/20,22
11/19/20,40
11/20/20,16
11/21/20,20
11/22/20,37
11/23/20,34
11/24/20,31
11/25/20,29
11/26/20,21
11/27/20,20
11/28/20,21
11/29/20,19
11/30/20,35
12/1/20,40
12/2/20,42
12/3/20,15
12/4/20,11
12/5/20,10
12/6/20,19
12/7/20,15
12/8/20,31
12/9/20,35
12/10/20,55
12/11/20,14
12/12/20,17
12/13/20,21
12/14/20,64
12/15/20,56
12/16/20,44
12/17/20,39
12/18/20,34
12/19/20,34
12/20/20,13
12/21/20,27
12/22/20,18
12/23/20,17
12/24/20,17
12/25/20,10
12/26/20,11
12/27/20,18
12/28/20,25
12/29/20,28
12/30/20,15
12/31/20,35
1/1/21,9
1/2/21,24
1/3/21,22
1/4/21,36
1/5/21,48
1/6/21,40
,"3,444"
