# ----------------------------------------
# All Web Site Data
# Pages
# 20200901-20210106
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/latest/how-to/install-main.html,"3,444","2,335",00:00:50,"1,022",36.65%,20.06%,$0.00
,"3,444","2,335",00:00:50,"1,022",36.65%,20.06%,$0.00

Week Index,Pageviews
0000,87
0001,232
0002,197
0003,221
0004,143
0005,147
0006,189
0007,215
0008,198
0009,187
0010,204
0011,168
0012,193
0013,172
0014,186
0015,292
0016,113
0017,154
0018,146
,"3,444"
