# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20200901-20210106
# ----------------------------------------

Day Index,New Users
9/1/20,5
9/2/20,7
9/3/20,4
9/4/20,1
9/5/20,0
9/6/20,1
9/7/20,2
9/8/20,2
9/9/20,1
9/10/20,2
9/11/20,2
9/12/20,3
9/13/20,3
9/14/20,2
9/15/20,9
9/16/20,2
9/17/20,5
9/18/20,3
9/19/20,0
9/20/20,0
9/21/20,2
9/22/20,4
9/23/20,9
9/24/20,5
9/25/20,4
9/26/20,1
9/27/20,2
9/28/20,5
9/29/20,5
9/30/20,5
10/1/20,11
10/2/20,4
10/3/20,0
10/4/20,0
10/5/20,1
10/6/20,2
10/7/20,8
10/8/20,8
10/9/20,1
10/10/20,3
10/11/20,0
10/12/20,5
10/13/20,4
10/14/20,2
10/15/20,2
10/16/20,1
10/17/20,0
10/18/20,1
10/19/20,11
10/20/20,9
10/21/20,8
10/22/20,4
10/23/20,5
10/24/20,0
10/25/20,1
10/26/20,1
10/27/20,5
10/28/20,11
10/29/20,1
10/30/20,5
10/31/20,0
11/1/20,0
11/2/20,0
11/3/20,6
11/4/20,8
11/5/20,4
11/6/20,3
11/7/20,0
11/8/20,0
11/9/20,3
11/10/20,4
11/11/20,6
11/12/20,3
11/13/20,4
11/14/20,1
11/15/20,2
11/16/20,6
11/17/20,5
11/18/20,2
11/19/20,7
11/20/20,4
11/21/20,1
11/22/20,2
11/23/20,15
11/24/20,4
11/25/20,4
11/26/20,1
11/27/20,5
11/28/20,3
11/29/20,5
11/30/20,4
12/1/20,3
12/2/20,4
12/3/20,4
12/4/20,2
12/5/20,0
12/6/20,2
12/7/20,3
12/8/20,2
12/9/20,5
12/10/20,7
12/11/20,4
12/12/20,1
12/13/20,4
12/14/20,16
12/15/20,7
12/16/20,7
12/17/20,5
12/18/20,7
12/19/20,1
12/20/20,2
12/21/20,6
12/22/20,3
12/23/20,3
12/24/20,0
12/25/20,2
12/26/20,0
12/27/20,2
12/28/20,4
12/29/20,2
12/30/20,0
12/31/20,4
1/1/21,2
1/2/21,1
1/3/21,4
1/4/21,0
1/5/21,11
1/6/21,6
