# ----------------------------------------
# All Web Site Data
# Product Page
# 20200901-20210106
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/product/,"48,058","42,840",00:01:25,"39,793",77.49%,76.67%,$0.00
,"48,058","42,840",00:01:25,"39,793",77.49%,76.67%,$0.00

Day Index,Pageviews
9/1/20,293
9/2/20,308
9/3/20,308
9/4/20,268
9/5/20,223
9/6/20,304
9/7/20,365
9/8/20,370
9/9/20,393
9/10/20,365
9/11/20,392
9/12/20,337
9/13/20,324
9/14/20,423
9/15/20,369
9/16/20,367
9/17/20,379
9/18/20,307
9/19/20,276
9/20/20,481
9/21/20,676
9/22/20,432
9/23/20,424
9/24/20,440
9/25/20,649
9/26/20,463
9/27/20,481
9/28/20,430
9/29/20,418
9/30/20,293
10/1/20,322
10/2/20,446
10/3/20,418
10/4/20,380
10/5/20,488
10/6/20,355
10/7/20,381
10/8/20,381
10/9/20,484
10/10/20,400
10/11/20,391
10/12/20,452
10/13/20,756
10/14/20,575
10/15/20,378
10/16/20,442
10/17/20,316
10/18/20,315
10/19/20,469
10/20/20,260
10/21/20,266
10/22/20,400
10/23/20,280
10/24/20,237
10/25/20,433
10/26/20,299
10/27/20,347
10/28/20,381
10/29/20,299
10/30/20,356
10/31/20,223
11/1/20,113
11/2/20,129
11/3/20,286
11/4/20,499
11/5/20,496
11/6/20,490
11/7/20,331
11/8/20,371
11/9/20,367
11/10/20,320
11/11/20,390
11/12/20,300
11/13/20,290
11/14/20,292
11/15/20,306
11/16/20,222
11/17/20,289
11/18/20,434
11/19/20,396
11/20/20,322
11/21/20,326
11/22/20,494
11/23/20,385
11/24/20,514
11/25/20,406
11/26/20,461
11/27/20,412
11/28/20,404
11/29/20,375
11/30/20,245
12/1/20,418
12/2/20,532
12/3/20,274
12/4/20,469
12/5/20,373
12/6/20,453
12/7/20,339
12/8/20,476
12/9/20,441
12/10/20,421
12/11/20,388
12/12/20,374
12/13/20,560
12/14/20,309
12/15/20,316
12/16/20,548
12/17/20,389
12/18/20,422
12/19/20,411
12/20/20,300
12/21/20,388
12/22/20,360
12/23/20,206
12/24/20,153
12/25/20,185
12/26/20,507
12/27/20,491
12/28/20,291
12/29/20,291
12/30/20,402
12/31/20,288
1/1/21,323
1/2/21,460
1/3/21,301
1/4/21,309
1/5/21,371
1/6/21,366
,"48,058"
