# ----------------------------------------
# All Web Site Data
# Product Page
# 20200901-20210106
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/product/,"48,058","42,840",00:01:25,"39,793",77.49%,76.67%,$0.00
,"48,058","42,840",00:01:25,"39,793",77.49%,76.67%,$0.00

Week Index,Pageviews
0000,"1400"
0001,"2526"
0002,"2445"
0003,"3565"
0004,"2808"
0005,"2869"
0006,"3310"
0007,"2227"
0008,"2338"
0009,"2344"
0010,"2330"
0011,"2295"
0012,"3076"
0013,"2686"
0014,"2892"
0015,"2955"
0016,"2099"
0017,"2546"
0018,"1347"
,"48,058"
