experiment_id|username|resources|labels|slots|start_time|training_time_sec
1|determined|""""""||1|2020-08-23 20:49:10.431396+00|0
2|determined|""""""||1|2020-08-23 20:55:37.722866+00|0
3|determined|""""""||1|2020-08-23 21:05:32.037061+00|0
4|determined|""""""||1|2020-08-23 21:19:57.463144+00|0
5|determined|""""""||1|2020-08-23 21:22:26.827055+00|0
6|determined|""""""||1|2020-08-23 21:27:56.74426+00|1962.714874
7|determined|""""""||1|2020-08-23 22:07:03.427561+00|0
8|determined|""""""||1|2020-08-23 22:13:38.219884+00|0
9|determined|""""""||1|2020-08-23 22:18:16.683947+00|909.560671
10|determined|""""""||4|2020-08-23 23:12:06.732738+00|617.149088
11|determined|""""""||1|2020-08-24 19:40:26.438557+00|0
12|determined|""""""||1|2020-08-24 19:47:16.960911+00|0
13|determined|""""""||1|2020-08-24 20:11:09.318094+00|0
14|determined|""""""|"[""4 gpu, 16 b, workers 4""]"|4|2020-08-24 20:17:44.638423+00|408.877867
15|determined|""""""|"[""1 gpu 8 b, 4 workers""]"|1|2020-08-24 20:26:01.975149+00|708.695848
16|determined|""""""||1|2020-08-24 20:40:53.643689+00|0
17|determined|""""""||1|2020-08-24 20:44:45.636079+00|559.892854
18|determined|""""""||1|2020-08-24 21:51:29.866704+00|0
19|determined|""""""||1|2020-08-24 21:55:36.796996+00|0
20|determined|""""""||1|2020-08-24 22:39:52.072269+00|0
21|determined|""""""||1|2020-08-24 23:06:29.562481+00|0
22|determined|""""""||1|2020-08-25 02:30:15.45123+00|0
23|determined|""""""||1|2020-08-25 02:31:48.020587+00|0
24|determined|""""""||1|2020-08-25 02:59:25.005722+00|0
25|determined|""""""||1|2020-08-25 03:12:47.093229+00|0
26|determined|""""""||1|2020-08-30 21:41:59.590397+00|0
27|determined|""""""||1|2020-08-30 21:44:24.648009+00|0
28|determined|""""""||1|2020-08-30 21:52:39.717704+00|0
29|determined|""""""||1|2020-08-30 21:53:10.818989+00|0
30|determined|""""""||1|2020-08-30 21:54:23.802028+00|0
31|determined|""""""||1|2020-08-30 21:57:31.442551+00|0
32|determined|""""""||1|2020-08-30 22:00:38.164421+00|0
33|determined|""""""||1|2020-08-30 22:00:56.180931+00|0
34|determined|""""""||1|2020-08-30 22:02:04.614061+00|0
35|determined|""""""||1|2020-08-30 22:04:44.920666+00|0
36|determined|""""""||1|2020-08-30 22:06:44.928941+00|339.238404
37|determined|""""""||1|2020-08-30 22:21:22.630322+00|0
38|determined|""""""||1|2020-08-30 22:23:59.9182+00|0
39|determined|""""""||1|2020-08-30 22:27:57.249766+00|0
40|determined|""""""||1|2020-08-30 22:30:36.883582+00|0
41|determined|""""""||1|2020-08-30 22:32:29.193101+00|0
42|determined|""""""||1|2020-08-30 22:34:38.523051+00|0
43|determined|""""""||1|2020-08-30 22:36:23.671255+00|0
